canonical_sku,w,h,d,keyword,source,raw_desc
W2442GD,24,42,12,WALL,LOVE_MILESTONE,"Shaker Gray - Wall cabinet Double Glass door - 24""W X 42""H X 12""D-2D-3S *Clear Glass Included"
W3042GD,30,42,12,WALL,LOVE_MILESTONE,"Shaker Gray - Wall cabinet Double Glass door - 30""W X 42""H X 12""D-2D-3S *Clear Glass Included"
W1212GD,12,12,12,WALL,LOVE_MILESTONE,"Shaker Gray - Wall cabinet Single Glass door - 12""W X 12""H X 12""D *Clear Glass Included"
W1512GD,15,12,12,WALL,LOVE_MILESTONE,"Shaker Gray - Wall cabinet Single Glass door - 15""W X 12""H X 12""D *Clear Glass Included"
W1812GD,18,12,12,WALL,LOVE_MILESTONE,"Shaker Gray - Wall cabinet Single Glass door - 18""W X 12""H X 12""D *Clear Glass Included"
W2112GD,21,12,12,WALL,LOVE_MILESTONE,"Shaker Gray - Wall cabinet Single Glass door - 21""W X 12""H X 12""D *Clear Glass Included"
W2412GD,24,12,12,WALL,LOVE_MILESTONE,"Shaker Gray - Wall cabinet Double Glass door - 24""W X 12""H X 12""D *Clear Glass Included"
W2712GD,27,12,12,WALL,LOVE_MILESTONE,"Shaker Gray - Wall cabinet Double Glass door - 27""W X 12""H X 12""D *Clear Glass Included"
W3012GD,30,12,12,WALL,LOVE_MILESTONE,"Shaker Gray - Wall cabinet Double Glass door - 30""W X 12""H X 12""D *Clear Glass Included"
W3312GD,33,12,12,WALL,LOVE_MILESTONE,"Shaker Gray - Wall cabinet Double Glass door - 33""W X 12""H X 12""D *Clear Glass Included"
W3612GD,36,12,12,WALL,LOVE_MILESTONE,"Shaker Gray - Wall cabinet Double Glass door - 36""W X 12""H X 12""D *Clear Glass Included"
W301224,30,12,24,WALL,LOVE_MILESTONE,"Shaker Gray - Refrigerator Wall Cabinet Double Doors - 30""W X 12""H X 24""D With 2 Door"
W301524,30,15,24,WALL,LOVE_MILESTONE,"Wall Refrigerator Cabinet - 30""W X 15""H X 24""D - 2D,Same Box With W3015 Door. Door Set Can Use W1530 For Every Colour."
W301824,30,18,24,WALL,LOVE_MILESTONE,"Shaker Gray - Refrigerator Wall Cabinet Double Doors - 30""W X 18""H X 24""D With 2 Door"
W331224,33,12,24,WALL,LOVE_MILESTONE,"Shaker Gray - Refrigerator Wall Cabinet Double Doors - 33""W X 12""H X 24""D With 2 Door"
W331524,33,15,24,WALL,LOVE_MILESTONE,"Shaker Gray - Refrigerator Wall Cabinet Double Doors - 33""W X 15""H X 24""D With 2 Door"
W331824,33,18,24,WALL,LOVE_MILESTONE,"Shaker Gray - Refrigerator Wall Cabinet Double Doors - 33""W X 18""H X 24""D With 2 Door"
W361224,36,12,24,WALL,LOVE_MILESTONE,"Shaker Gray - Refrigerator Wall Cabinet Double Doors - 36""W X 12""H X 24""D With 2 Door"
W361524,36,15,24,WALL,LOVE_MILESTONE,"Shaker Gray - Refrigerator Wall Cabinet Double Doors - 36""W X 15""H X 24""D With 2 Door"
W361824,36,18,24,WALL,LOVE_MILESTONE,"Shaker Gray - Refrigerator Wall Cabinet Double Doors - 36""W X 18""H X 24""D With 2 Door"
W302424,30,24,24,WALL,LOVE_MILESTONE,"Shaker Gray - Refrigerator Wall Cabinet Double Doors - 30""W X 24""H X 24""D With 2 Door"
W332424,33,24,24,WALL,LOVE_MILESTONE,"Shaker Gray - Refrigerator Wall Cabinet Double Doors - 33""W X 24""H X 24""D With 2 Door"
W362424,36,24,24,WALL,LOVE_MILESTONE,"Shaker Gray - Refrigerator Wall Cabinet Double Doors - 36""W X 24""H X 24""D With 2 Door"
WD1848,18,48,12,WALL,LOVE_MILESTONE,"Shaker Gray - Wall With Drawer Cabinet-18""W x 48""H x 12""D- 1D, 2 DRW -2S"
WD1854,18,54,12,WALL,LOVE_MILESTONE,"Shaker Gray - Wall With Drawer Cabinet-18""W x 54""H x 12""D- 1D, 2 DRW -2S"
WD1860,18,60,12,WALL,LOVE_MILESTONE,"Shaker Gray - Wall With Drawer Cabinet-18""W x 60""H x 12""D- 1D, 2 DRW -3S"
WER2430,24,30,12,WALL,LOVE_MILESTONE,"Shaker Gray - Wall Easy Reach Corner Cabinet - 24"" W X 30"" H X 12"" D - 2D - 2S"
WER2436,24,36,12,WALL,LOVE_MILESTONE,"Shaker Gray - Wall Easy Reach Corner Cabinet - 24"" W X 36"" H X 12"" D - 2D - 2S"
WER2442,24,42,12,WALL,LOVE_MILESTONE,"Shaker Gray - Wall Easy Reach Corner Cabinet - 24"" W X 42"" H X 12"" D - 2D - 2S"
WBC2430,24,30,12,WALL_BLIND_CORNER,LOVE_MILESTONE,"Shaker Gray - Wall Blind Corner Cabinet - 24""W X 30""H X 12""D With 1 Door And 2 Shelf"
WBC2730,27,30,12,WALL_BLIND_CORNER,LOVE_MILESTONE,"Shaker Gray - Wall Blind Corner Cabinet - 27""W X 30""H X 12""D With 1 Door And 2 Shelf"
WBC3630,36,30,12,WALL_BLIND_CORNER,LOVE_MILESTONE,"Shaker Gray - Wall Blind Corner Cabinet - 36""W x 30""H x 12""D - 1D -2SCan be pulled to exact fit"
WBC2736,27,36,12,WALL_BLIND_CORNER,LOVE_MILESTONE,"Shaker Gray - Wall Blind Corner Cabinet - 27""W X 36""H X 12""D With 1 Door And 2 Shelf"
WBC2442,24,42,12,WALL_BLIND_CORNER,LOVE_MILESTONE,"Shaker Gray - Wall Blind Corner Cabinet - 24""W X 42""H X 12""D With 1 Door And 3 Shelf"
WBC2742,27,42,12,WALL_BLIND_CORNER,LOVE_MILESTONE,"Shaker Gray - Wall Blind Corner Cabinet - 27""W X 42""H X 12""D With 1 Door And 3 Shelf"
WBC3642,36,42,12,WALL_BLIND_CORNER,LOVE_MILESTONE,"Shaker Gray - Wall Blind Corner Cabinet - 36""W X 42""H X 12""D With 1 Door And 3 Shelf"
AW1230,12,30,12,WALL,LOVE_MILESTONE,"Shaker Gray - Angle Wall Cabinet - 12""W X 30""H X 12""D With 1 Door And 2 Shelf"
AW1236,12,36,12,WALL,LOVE_MILESTONE,"Shaker Gray - Angle Wall Cabinet - 12""W X 36""H X 12""D With 1 Door And 2 Shelf"
AW1242,12,42,12,WALL,LOVE_MILESTONE,"Shaker Gray - Angle Wall Cabinet - 12""W X 42""H X 12""D With 1 Door And 3 Shelf"
DCW2430,24,30,12,WALL_DIAGONAL_CORNER,LOVE_MILESTONE,"Shaker Gray - Wall Diagonal Corner Cabinet - 24""W X 30""H X 12""D With 1 Door And 2 Shelf"
DCW2436,24,36,12,WALL_DIAGONAL_CORNER,LOVE_MILESTONE,"Shaker Gray - Wall Diagonal Corner Cabinet - 24""W X 36""H X 12""D With 1 Door And 2 Shelf"
